id,Per. Ingresso,Curso,Forma de Ingresso,Sigla Cota,Escola Pública?,Coeficiente,Sexo,Idade,Situação Atual do Aluno,Período do Aluno,Em que localidade da cidade seu domicílio se encontra?,Necessita de trabalhar durante o curso?,Como pretende se locomover até a UTFPR durante o seu curso?,Motivo que o levou a escolher a UTFPR?,Principal motivo da escolha do curso:
6w76jk,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.1595,M,24,Desistente,1,Bairro na região central da cidade.,Não.,De ônibus.,Satisfaz as condições socioeconômicas da família.,O curso prepara para uma profissão que promete boa renda financeira.
3rgnkk,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Escola Pública,0.5528,M,28,Desistente,2,Bairro na região central da cidade.,Não sabe.,De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão com bom mercado de trabalho.
dimipx,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.19,M,26,Desistente,1,Bairro na região central da cidade.,Não.,De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.
jy++jk,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Escola Pública,0.0,M,25,Desistente,1,Bairro na periferia da cidade.,Não sabe.,De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.
fbi+jk,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Escola Pública,0.4003,M,25,Desistente,3,Bairro na periferia da cidade.,"Sim, apenas nos últimos anos.",De ônibus.,Satisfaz as condições socioeconômicas da família.,O curso prepara para uma profissão de acordo com as minhas aptidões.
3omia8,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.1901,M,25,Desistente,2,Bairro na região central da cidade.,Não sabe.,De ônibus.,Satisfaz as condições socioeconômicas da família.,O curso prepara para uma profissão de acordo com as minhas aptidões.
86ujgf,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Escola Pública,0.4026,M,25,Desistente,1,"Região rural (chácara, sítio, fazenda, aldeia, etc.).",Não sabe.,De ônibus.,É a única na região que oferece o curso desejado.,O curso prepara para uma profissão que promete boa renda financeira.
wn++jk,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Escola Pública,0.5996,F,29,Desistente,2,"Região rural (chácara, sítio, fazenda, aldeia, etc.).","Sim, desde o início, em período parcial.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.
nz5unz,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Não cotista,Escola Pública,0.2309,M,25,Desistente,1,Condomínio residencial fechado.,Não sabe.,De ônibus.,É a única na região que oferece o curso desejado.,O curso prepara para uma profissão de acordo com as minhas aptidões.
468khc,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Escola Pública,0.2575,M,26,Desistente,1,Bairro na região central da cidade.,"Sim, desde o início, em período parcial.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão com bom mercado de trabalho.
